estacionID,nombre,latitud,longitud
ELAZC,"El Arenal, Zac.",23.649722,-103.4475
IXMHD,"Ixmiquilpan, Hgo.",20.481944,-99.220833
JALTB,"Jalapa, Tab.",17.9875,-92.816667
ZAPJL,"Zapotlanejo, Jal.",20.404167,-103.0875
MNANL,"Mina, N.L.",26,-100.530556
CDOTP,"S-J-2-18 Ciudad Díaz Ordaz, Tamps.",26.238056,-98.5975
LCAMC,"La Calera, Mich.",18.429167,-100.997222
XOBVC,"Xalapa observatorio, Ver.",19.533333,-96.916667
TRNGJ,"La Trinidad, Gto.",0,0
CUIMC,"Cuitzeo, Mich.",19.956111,-101.138056
TCHZC,"Chalchihuites, Zac.",23.471944,-103.879722
SJUJL,"San Juan, Jal.",21.688889,-102.538889
PLMSO,"El Plomo, Son.",31.25,-112.1
VIFCP,"Villa Flores, Chis.",16.233333,-93.270833
SAACL,"San Antonio de las Alazanas, Coah.",25.273333,-100.575556
CHYVC,"Paso de Piedras (Chicayan), Ver.",21.7375,-98.155833
IRASO,"Ignacio R. Alatorre, Son.",28.426389,-110.396944
CPEJL,"Cajón de Peña, Jal.",19.9975,-105.129722
ACZMX,"Acazuchitlan, Mex.",20.166667,-99.6
SRLBS,"Santa Rosalía, B.C.S.",27.3,-112.283333
HDZSI,"Higuera de Zaragoza, Sin.",25.983333,-109.333333
EFTSI,"El Fuerte, Sin.",26.433333,-108.616667
CALGR,"Ciudad Altamirano, Gro.",18.359444,-100.664444
MEOYC,"Mérida Observatorio, Yuc.",21,-89.6
PLMBS,"Puerto Adolfo López Mateos, B.C.S.",25.183333,-112.1
SNTCM,"Santiago, Col.",19.129444,-104.348333
CALVC,"Ciudad Alemán, Ver.",18.1875,-96.094444
ETEVC,"El Tejar, Ver.",19.068889,-96.158333
CHRMC,"Churumuco, Mich.",18.655556,-101.631944
PERHD,"La Esperanza, Hgo.",20.0575,-98.334722
JACOX,"Jacatepec, Oax.",17.866667,-96.2
ARLSO,"Abelardo Rodríguez Lujan, Son.",29.076667,-110.92
PETYC,"Peto, Yuc.",19.956111,-88.948333
HLSVC,"Los Hules, Ver.",21.160556,-98.274167
VJRSL,"Villa Juárez, S.L.P.",22.325556,-100.27
JABCP,"Jabalí, Chis.",16.147222,-91.377222
APRDR,"Benjamín Ortega, Dgo.",26.226389,-104.493889
PMHSI,"Miguel Hidalgo, Sin.",26.509722,-108.58
GDOSI,"Gustavo Díaz Ordaz, Sin.",25.856667,-107.911111
JALZC,"Juan Aldama, Zac.",24.281667,-103.397778
VTZSL,"Villa Terrazas, S.L.P.",21.4,-98.9
LSRTP,"La Servilleta, Tamps.",22.833333,-99.116667
PROMR,"Progreso, Mor.",18.771111,-99.156944
LMTGJ,"Lomo de Toro, Gto.",20.3,-101
CURMR,"S.E.P. Cuernavaca, Mor.",18.948333,-99.230833
SALCL,"Saltillo Obs., Coah.",25.376389,-101.016667
PSLGR,"Palma Sola I, Gro.",16.8,-99.9
PAGDR,"Peña del Águila, Dgo.",24.203889,-104.656667
SGDDF,"Sierra Guadalupe, D.F.",19.572222,-99.122222
TABCP,"Tablón, Chis.",0,0
LLNCH,"Luis L. León, Chih.",28.984444,-105.28
EGCJL,"E. González Chavez, Jal.",20.680833,-102.976111
URSSO,"Ures, Son.",29.426944,-110.392222
OLNGR,"Olinala, Gro.",17.777222,-98.735
NIDDR,"Nuevo Ieal, Dgo.",24.9,-105.1
ZAPCP,"Zapotal, Chis.",16.090833,-91.399167
LHRDR,"La Huerta, Dgo.",25.35,-106.7
ECHPB,"Echeverría, Pue.",18.966111,-98.275556
CSLBS,"Cabo San Lucas, B.C.S.",22.881944,-109.9125
TCRSO,"Tres Carlos, Son.",26.918333,-109.453333
AQMSL,"Aquismón, S.L.P.",21.627778,-99.015833
SLAMX,"San Luis Ameca, Méx.",19.190278,-98.870833
LSANR,"Los Sabinos, Nay.",21.941111,-104.553889
MTPSO,"Matape, Son.",29.113889,-109.966111
CPEHD,CANAL A PRESA ENDHO,0,0
PA2OX,PAPALOAPAN II,18.166667,-96.083333
MACTB,"Macuspana, Tab.",17.766667,-92.6
AWSSI,"Andrew Weiss, Sin.",25.033333,-107.466667
K58SO,"Km. 58 de Canal Alto, Son.",27.436389,-109.845
K54DR,"KM. 54+000, Dgo.",0,0
FROTB,"Frontera, Tab.",18.529444,-92.216667
GDUSO,"La Guadalupe, Son.",28.95,-108.708333
CINBS,"Cd. Insurgentes, B.C.S.",25.263889,-111.776389
TENJL,"Tenasco, Jal.",22.171944,-103.198611
REATP,"S-J-3-48A Reynosa, Tamps.",25.649444,-98.055833
RQEGJ,"Roque, Gto.",20.534722,-100.813611
